StockCode,Description,product_revenue,quantity,orders
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
22423,REGENCY CAKESTAND 3 TIER,142592.94999999998,12402,1703
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100448.15000000001,36725,1971
85099B,JUMBO BAG RED RETROSPOT,85220.78,46181,1600
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,195
47566,PARTY BUNTING,68844.33,15291,1379
84879,ASSORTED COLOUR BIRD ORNAMENT,56580.34,35362,1375
M,Manual,53779.93,7173,253
23084,RABBIT NIGHT LIGHT,51346.2,27202,801
79321,CHILLI LIGHTS,46286.51,9650,519
22086,PAPER CHAIN KIT 50'S CHRISTMAS,42660.83,15617,980
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2
21137,BLACK RECORD COVER FRAME,39064.55,11406,313
22386,JUMBO BAG PINK POLKADOT,37289.590000000004,20165,871
23284,DOORMAT KEEP CALM AND COME IN,35913.85,5342,648
23298,SPOTTY BUNTING,35539.25,7639,1003
82484,WOOD BLACK BOARD ANT WHITE FINISH,34478.01,5921,604
22720,SET OF 3 CAKE TINS PANTRY DESIGN,33347.8,7020,1146
22960,JAM MAKING SET WITH JARS,32662.97,8151,878
85099F,JUMBO BAG STRAWBERRY,30644.2,16807,654
22178,VICTORIAN GLASS HANGING T-LIGHT,28776.51,22433,815
22470,HEART OF WICKER LARGE,28520.95,9591,801
22469,HEART OF WICKER SMALL,28228.64,16775,961
20725,LUNCH BAG RED RETROSPOT,28048.45,17697,1288
23245,SET OF 3 REGENCY CAKE TINS,26625.68,5856,718
23199,JUMBO BAG APPLES,26451.260000000002,13887,718
22727,ALARM CLOCK BAKELIKE RED,25925.2,7221,877
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,25669.27,9433,697
20685,DOORMAT RED RETROSPOT,25397.85,3901,576
21175,GIN + TONIC DIET METAL SIGN,24988.98,11519,655
22699,ROSES REGENCY TEACUP AND SAUCER,24865.600000000002,9132,783
22629,SPACEBOY LUNCH BOX,24694.59,13919,704
23355,HOT WATER BOTTLE KEEP CALM,24426.300000000003,5338,719
22457,NATURAL SLATE HEART CHALKBOARD,24245.52,8480,967
23201,JUMBO BAG ALPHABET,24175.0,12540,752
21181,PLEASE ONE PERSON METAL SIGN,23930.920000000002,11963,694
21915,RED  HARMONICA IN BOX,23793.93,20975,561
48138,DOORMAT UNION FLAG,23697.99,3625,516
85099C,JUMBO  BAG BAROQUE BLACK WHITE,23675.04,12793,649
22112,CHOCOLATE HOT WATER BOTTLE,23624.24,5160,700
22197,POPCORN HOLDER,23427.71,30931,632
23173,REGENCY TEAPOT ROSES,23073.32,2666,354
22138,BAKING SET 9 PIECE RETROSPOT,23007.55,4797,854
48187,DOORMAT NEW ENGLAND,22968.25,3721,531
22189,CREAM HEART CARD HOLDER,22715.57,8195,452
21623,VINTAGE UNION JACK MEMOBOARD,22709.13,3255,205
21733,RED HANGING HEART T-LIGHT HOLDER,22624.690000000002,7759,679
22326,ROUND SNACK BOXES SET OF4 WOODLAND,22175.52,8100,595
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,22133.83,4663,385
21931,JUMBO STORAGE BAG SUKI,21790.95,11516,774
48185,DOORMAT FAIRY CAKE,21187.69,3429,241
22961,JAM MAKING SET PRINTED,21170.75,15055,868
23202,JUMBO BAG VINTAGE LEAF,20963.93,10716,772
21621,VINTAGE UNION JACK BUNTING,20962.16,2540,391
22726,ALARM CLOCK BAKELIKE GREEN,20880.4,5641,789
22666,RECIPE BOX PANTRY YELLOW DESIGN,20859.27,7373,828
15056N,EDWARDIAN PARASOL NATURAL,20696.71,3826,378
23203,JUMBO BAG VINTAGE DOILY,20674.68,10636,621
85066,CREAM SWEETHEART MINI CHEST,20562.92,1705,445
22722,SET OF 6 SPICE TINS PANTRY DESIGN,20530.0,5372,653
22139,RETROSPOT TEA SET CERAMIC 11 PC,20470.780000000002,4248,823
21166,COOK WITH WINE METAL SIGN,20315.33,10209,602
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20174.23,10518,790
22630,DOLLY GIRL LUNCH BOX,20129.44,11336,616
22111,SCOTTIE DOG HOT WATER BOTTLE,20104.350000000002,4259,656
82482,WOODEN PICTURE FRAME WHITE FINISH,20001.65,8276,876
48194,DOORMAT HEARTS,19948.81,3271,480
21731,RED TOADSTOOL LED NIGHT LIGHT,19844.91,12871,522
22659,LUNCH BOX I LOVE LONDON,19353.219999999998,11094,504
21523,DOORMAT FANCY FONT HOME SWEET HOME,19157.02,3088,397
20713,JUMBO BAG OWLS,19076.92,10466,411
22090,PAPER BUNTING RETROSPOT,18791.890000000003,6879,567
22728,ALARM CLOCK BAKELIKE PINK,18569.09,5074,613
21929,JUMBO BAG PINK VINTAGE PAISLEY,18429.98,9889,602
23206,LUNCH BAG APPLE DESIGN,18278.25,11565,866
20727,LUNCH BAG  BLACK SKULL.,18024.55,11291,1052
21843,RED RETROSPOT CAKE STAND,17929.75,1809,421
22697,GREEN REGENCY TEACUP AND SAUCER,17806.34,6430,691
23344,JUMBO BAG 50'S CHRISTMAS,17679.72,8954,586
82494L,WOODEN FRAME ANTIQUE WHITE,17625.07,6282,811
22328,ROUND SNACK BOXES SET OF 4 FRUITS,17604.99,6481,458
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,17592.52,7907,305
22467,GUMBALL COAT RACK,17580.350000000002,7688,570
22969,HOMEMADE JAM SCENTED CANDLES,17521.6,12092,518
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,17304.57,10082,192
20728,LUNCH BAG CARS BLUE,17265.68,10820,966
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17226.2,15940,239
23203,JUMBO BAG DOILEY PATTERNS,16741.260000000002,8737,454
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,16570.29,5655,221
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,16569.58,5882,763
